Rank(2023),Airports,IATACode,cities served,Metro area,State,2023[2],2022[3],2021[4],2020[5],2019[6],2018[7],2017[8],2016[9],2015[10],2014[11],Hub
51,Palm Beach International Airport,PBI,West Palm Beach,Miami Metro,FL,"3,815,977","3,257,730","2,567,897","1,518,732","3,460,429","3,263,042","3,166,532","3,100,624","3,113,485","2,926,242",Medium
52,Kahului Airport,OGG,Kahului,Maui,HI,"3,745,866","4,125,311","2,933,315","1,135,141","3,791,807","3,572,133","3,442,189","3,352,813","3,220,753","3,019,338",Medium
53,Jacksonville International Airport,JAX,Jacksonville,Jacksonville,FL,"3,619,739","3,177,393","2,425,685","1,367,501","3,479,923","3,118,540","2,759,067","2,799,587","2,716,465","2,589,198",Medium
54,Ontario International Airport,ONT,Ontario,Greater Los Angeles,CA,"3,181,161","2,840,758","2,201,528","1,237,946","2,723,002","2,499,171","2,247,645","2,127,387","2,089,801","2,037,346",Medium
55,Hollywood Burbank Airport,BUR,Burbank,Greater Los Angeles,CA,"3,132,029","3,054,729","1,942,417","1,056,838","2,988,720","2,680,240","2,402,106","2,077,892","1,973,897","1,928,491",Medium
56,Bradley International Airport,BDL,Hartford,Hartford,CT,"3,122,212","2,844,713","2,273,259","1,150,033","3,323,614","3,330,734","3,214,976","2,982,194","2,926,047","2,913,380",Medium
57,Charleston International Airport,CHS,Charleston,Charleston,SC,"3,032,768","2,608,497","2,015,277","944,660","2,375,868","2,192,893","1,945,699","1,811,695","1,669,988","1,539,326",Medium
58,Milwaukee Mitchell International Airport,MKE,Milwaukee,Milwaukee,WI,"2,959,840","2,671,281","2,231,010","1,263,385","3,374,073","3,548,817","3,452,544","3,383,271","3,229,876","3,228,607",Medium
59,Ted Stevens Anchorage International Airport,ANC,Anchorage,Anchorage,AK,"2,681,818","2,604,308","2,184,959","1,157,301","2,713,843","2,642,901","2,556,188","2,563,524","2,525,876","2,381,826",Medium
60,Albuquerque International Sunport,ABQ,Albuquerque,Albuquerque,NM,"2,605,163","2,317,836","1,688,646","868,922","2,641,450","2,647,269","2,412,328","2,341,719","2,323,883","2,354,184",Medium
61,Eppley Airfield,OMA,Omaha,Omaha,NE,"2,464,418","2,204,395","1,829,912","1,036,245","2,455,274","2,457,087","2,303,223","2,127,387","2,046,155","2,020,354",Medium
62,Memphis International Airport,MEM,Memphis,Memphis,TN,"2,399,876","2,163,692","1,793,073","1,015,981","2,318,442","2,213,083","2,102,739","2,016,089","1,873,716","1,800,268",Medium
63,Richmond International Airport,RIC,Richmond,Richmond,VA,"2,399,239","2,042,834","1,603,149","847,811","2,190,907","2,048,691","1,822,486","1,777,648","1,740,391","1,671,096",Medium
64,Boise Airport,BOI,Boise,Boise,ID,"2,369,164","2,230,467","1,809,000","991,241","2,057,750","1,943,181","1,777,642","1,633,507","1,487,777","1,378,352",Medium
